Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Email,Product name,Product version,Domain,IP Address,Port,Last Observed Open,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
0649170b-8776-5546-8214-393485a608fb,2026-02-25T18:52:18,2026-02-28T11:44:17,,CVE-2025-26466,,,,,,22,,,,,146.190.102.247,22,2026-02-28T11:44:17,,,,,,"A flaw was found in the OpenSSH package. For each ping packet the SSH server receives, a pong packet is allocated in a memory buffer and stored in a queue of packages. It is only freed when the server/client key exchange has finished. A malicious client may keep sending such packages, leading to an uncontrolled increase in memory consumption on the server side. Consequently, the server may become unavailable, resulting in a denial of service attack.",2025-02-28,,,,0,,0
c6429d9b-d1e2-597e-a3d2-a0cfc508abc7,2025-05-21T00:52:20,2026-02-28T11:44:17,,CVE-2025-26465,,,,,,22,,,,,146.190.102.247,22,2026-02-28T11:44:17,,,,,,"A vulnerability was found in OpenSSH when the VerifyHostKeyDNS option is enabled. A machine-in-the-middle attack can be performed by a malicious machine impersonating a legit server. This issue occurs due to how OpenSSH mishandles error codes in specific conditions when verifying the host key. For an attack to be considered successful, the attacker needs to manage to exhaust the client's memory resource first, turning the attack complexity high.",2025-02-18,,,,0,,0
1497084b-c218-5022-a634-d305d329ed6b,2025-07-11T00:17:52,2026-02-28T11:44:17,,CVE-2025-32728,,,,,,22,,,,,146.190.102.247,22,2026-02-28T11:44:17,,,,,,"In sshd in OpenSSH before 10.0, the DisableForwarding directive does not adhere to the documentation stating that it disables X11 and agent forwarding.",2025-04-10,,,,0,,0
06fcb786-fd70-53f3-897a-fa51e7023e87,2024-03-18T00:19:07,2026-02-27T06:57:30,,CVE-2023-48795,,,,,,22,,,,,134.209.100.157,22,2026-02-27T06:57:30,,,,,,"The SSH transport protocol with certain OpenSSH extensions, found in OpenSSH before 9.6 and other products, allows remote attackers to bypass integrity checks such that some packets are omitted (from the extension negotiation message), and a client and server may consequently end up with a connection for which some security features have been downgraded or disabled, aka a Terrapin attack. This occurs because the SSH Binary Packet Protocol (BPP), implemented by these extensions, mishandles the handshake phase and mishandles use of sequence numbers. For example, there is an effective attack against SSH's use of ChaCha20-Poly1305 (and CBC with Encrypt-then-MAC). The bypass occurs in chacha20-poly1305@openssh.com and (if CBC is used) the -etm@openssh.com MAC algorithms. This also affects Maverick Synergy Java SSH API before 3.1.0-SNAPSHOT, Dropbear through 2022.83, Ssh before 5.1.1 in Erlang/OTP, PuTTY before 0.80, AsyncSSH before 2.14.2, golang.org/x/crypto before 0.17.0, libssh before 0.10.6, libssh2 through 1.11.0, Thorn Tech SFTP Gateway before 3.4.6, Tera Term before 5.1, Paramiko before 3.4.0, jsch before 0.2.15, SFTPGo before 2.5.6, Netgate pfSense Plus through 23.09.1, Netgate pfSense CE through 2.7.2, HPN-SSH through 18.2.0, ProFTPD before 1.3.8b (and before 1.3.9rc2), ORYX CycloneSSH before 2.3.4, NetSarang XShell 7 before Build 0144, CrushFTP before 10.6.0, ConnectBot SSH library before 2.2.22, Apache MINA sshd through 2.11.0, sshj through 0.37.0, TinySSH through 20230101, trilead-ssh2 6401, LANCOM LCOS and LANconfig, FileZilla before 3.66.4, Nova before 11.8, PKIX-SSH before 14.4, SecureCRT before 9.4.3, Transmit5 before 5.10.4, Win32-OpenSSH before 9.5.0.0p1-Beta, WinSCP before 6.2.2, Bitvise SSH Server before 9.32, Bitvise SSH Client before 9.33, KiTTY through 0.76.1.13, the net-ssh gem 7.2.0 for Ruby, the mscdex ssh2 module before 1.15.0 for Node.js, the thrussh library before 0.35.1 for Rust, and the Russh crate before 0.40.2 for Rust.",2023-12-18,,,,0,,0
60c25004-7859-5cba-8c35-d2d321f1bb88,2025-07-11T08:32:24,2026-02-27T06:57:30,,CVE-2025-32728,,,,,,22,,,,,134.209.100.157,22,2026-02-27T06:57:30,,,,,,"In sshd in OpenSSH before 10.0, the DisableForwarding directive does not adhere to the documentation stating that it disables X11 and agent forwarding.",2025-04-10,,,,0,,0
75b70ff7-1036-5878-9fec-da963d3450eb,2024-02-29T22:45:30,2026-02-27T06:57:30,,CVE-2016-20012,,,,,,22,,,,,134.209.100.157,22,2026-02-27T06:57:30,,,,,,"OpenSSH through 8.7 allows remote attackers, who have a suspicion that a certain combination of username and public key is known to an SSH server, to test whether this suspicion is correct. This occurs because a challenge is sent only when that combination could be valid for a login session. NOTE: the vendor does not recognize user enumeration as a vulnerability for this product",2021-09-15,,,,0,,0
a2946b1c-ea70-5b72-aa5b-70e387b8586e,2025-05-21T05:32:32,2026-02-27T06:57:30,,CVE-2025-26465,,,,,,22,,,,,134.209.100.157,22,2026-02-27T06:57:30,,,,,,"A vulnerability was found in OpenSSH when the VerifyHostKeyDNS option is enabled. A machine-in-the-middle attack can be performed by a malicious machine impersonating a legit server. This issue occurs due to how OpenSSH mishandles error codes in specific conditions when verifying the host key. For an attack to be considered successful, the attacker needs to manage to exhaust the client's memory resource first, turning the attack complexity high.",2025-02-18,,,,0,,0
0134c23e-69c5-5dbe-8299-24aa2c8d6074,2024-04-14T05:31:32,2026-02-16T06:20:32,,CVE-2022-31160,,,,,,80,,,,,129.154.235.219,80,2026-02-16T06:20:32,,,,,,"jQuery UI is a curated set of user interface interactions, effects, widgets, and themes built on top of jQuery. Versions prior to 1.13.2 are potentially vulnerable to cross-site scripting. Initializing a checkboxradio widget on an input enclosed within a label makes that parent label contents considered as the input label. Calling `.checkboxradio( ""refresh"" )` on such a widget and the initial HTML contained encoded HTML entities will make them erroneously get decoded. This can lead to potentially executing JavaScript code. The bug has been patched in jQuery UI 1.13.2. To remediate the issue, someone who can change the initial HTML can wrap all the non-input contents of the `label` in a `span`.",2022-07-20,,,,0,,0
8f417b66-1d1d-5c08-8381-15c13d90b276,2024-04-14T05:31:32,2026-02-16T06:20:32,,CVE-2021-41184,,,,,,80,,,,,129.154.235.219,80,2026-02-16T06:20:32,,,,,,"jQuery-UI is the official jQuery user interface library. Prior to version 1.13.0, accepting the value of the `of` option of the `.position()` util from untrusted sources may execute untrusted code. The issue is fixed in jQuery UI 1.13.0. Any string value passed to the `of` option is now treated as a CSS selector. A workaround is to not accept the value of the `of` option from untrusted sources.",2021-10-26,,,,0,,0
51de4439-5a09-5cee-8679-7d043b34faed,2024-04-14T05:31:32,2026-02-16T06:20:32,,CVE-2021-41183,,,,,,80,,,,,129.154.235.219,80,2026-02-16T06:20:32,,,,,,"jQuery-UI is the official jQuery user interface library. Prior to version 1.13.0, accepting the value of various `*Text` options of the Datepicker widget from untrusted sources may execute untrusted code. The issue is fixed in jQuery UI 1.13.0. The values passed to various `*Text` options are now always treated as pure text, not HTML. A workaround is to not accept the value of the `*Text` options from untrusted sources.",2021-10-26,,,,0,,0
